unit,hour,avg_powerconsumer1_kw
ship1,0,306.38293628571427
ship1,1,282.014682
ship1,2,275.82328783561644
ship1,3,273.73172761445784
ship1,4,277.344792375
ship1,5,292.178818875
ship1,6,323.46944387499997
ship1,7,336.4281255
ship1,8,340.3187495
ship1,9,337.82291575
ship1,10,327.97847225000004
ship1,11,323.695139
ship1,12,318.7130268965517
ship1,13,322.3392857142857
ship1,14,315.47698385714284
ship1,15,319.9099202857143
ship1,16,328.6376988571429
ship1,17,337.78452342857145
ship1,18,356.6757941428571
ship1,19,354.83849257142856
ship1,20,350.3210317142857
ship1,21,356.3146824285715
ship1,22,363.1511912857143
ship1,23,360.5809517142857
ship2,0,354.69841285714284
ship2,1,353.41785771428573
ship2,2,363.85873000000004
ship2,3,368.07182542857146
ship2,4,338.061508
ship2,5,308.01071457142854
ship2,6,301.67658757142857
ship2,7,302.874207
ship2,8,317.3837304285714
ship2,9,331.792360875
ship2,10,330.989236
ship2,11,333.89247290322584
ship2,12,340.7777778571429
ship2,13,326.5134922857143
ship2,14,315.7658727142857
ship2,15,323.42341285714286
ship2,16,327.2480155714286
ship2,17,328.8825392857143
ship2,18,328.76428585714285
ship2,19,332.38373014285713
ship2,20,344.8432542857143
ship2,21,353.1535708571429
ship2,22,353.9555555714286
ship2,23,365.6095237142857
